# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.0063819037   	p              	-9.81025641e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12250370e+03	(3.19483357e+00 4.75000008e-01 0.00000000e+00)	2
0.0063819037   	p_rgh          	-3.35648247e+00	(2.03690715e+00 -2.75001141e-01 5.74996472e-01)	3	5.38787929e+03	(3.19483435e+00 -4.25000000e-01 5.24999860e-01)	2
0.0063819037   	U              	(-1.01970777e-02 -7.74980943e-03 2.98964848e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.20015715e-01 2.63659643e-04 1.64103067e-01)	(1.93616222e+00 -4.75000326e-01 5.74995329e-01)	3
0.0063819037   	alpha.water    	-2.83479328e-15	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000010e+00	(2.23832962e+00 2.50000819e-02 3.74998259e-01)	2
0.0063819037   	k              	8.73236466e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00163715e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0063819037   	epsilon        	8.92945951e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.95642230e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0076199125   	p              	-9.81035600e+00	(2.28876440e+00 4.25000068e-01 1.00000000e+00)	2	5.12322176e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.0076199125   	p_rgh          	-3.24205647e+00	(2.03690652e+00 1.25000817e-01 5.74996411e-01)	3	5.38718943e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.0076199125   	U              	(-1.20361429e-02 -9.12549903e-03 3.57940578e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.45069733e-01 1.10204225e-03 1.85376114e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.0076199125   	alpha.water    	-1.11012184e-14	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000017e+00	(2.23832962e+00 2.50000819e-02 3.74998259e-01)	2
0.0076199125   	k              	8.52143443e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00217423e-01	(2.03692137e+00 -2.50001618e-02 6.24996512e-01)	3
0.0076199125   	epsilon        	8.94314186e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.89649354e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.0089954778   	p              	-9.81048906e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12249089e+03	(3.19483357e+00 4.75000008e-01 0.00000000e+00)	2
0.0089954778   	p_rgh          	-3.15477300e+00	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.38628200e+03	(3.19483435e+00 -4.25000000e-01 5.24999860e-01)	2
0.0089954778   	U              	(-1.42592932e-02 -1.08354973e-02 4.18284817e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(1.72059310e-01 2.55945953e-03 2.10621744e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.0089954778   	alpha.water    	-3.54012133e-14	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000019e+00	(2.23833872e+00 2.50000753e-02 4.24998138e-01)	2
0.0089954778   	k              	8.29768520e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00236038e-01	(1.93613953e+00 -2.50003606e-02 5.24995004e-01)	3
0.0089954778   	epsilon        	8.99784993e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.82962384e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.010567552    	p              	-9.81066793e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12322738e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.010567552    	p_rgh          	-3.18382980e+00	(2.03690628e+00 2.50001873e-02 5.74996389e-01)	3	5.38506407e+03	(3.19483435e+00 -4.25000000e-01 5.24999860e-01)	2
0.010567552    	U              	(-1.67901651e-02 -1.27825749e-02 5.11961513e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(2.03792387e-01 4.45327137e-03 2.41739522e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.010567552    	alpha.water    	-1.17074873e-13	(1.93601195e+00 4.75000659e-01 1.24998418e-01)	3	1.00000028e+00	(2.23833872e+00 2.50000753e-02 4.24998138e-01)	2
0.010567552    	k              	8.05485943e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00309667e-01	(1.98655272e+00 -3.75000977e-01 6.24996074e-01)	3
0.010567552    	epsilon        	9.09931467e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.75983455e+00	(7.48321654e-01 2.06959814e-01 6.87515549e-02)	1
0.012139627    	p              	-9.81087711e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12250438e+03	(3.19483360e+00 4.25000000e-01 0.00000000e+00)	2
0.012139627    	p_rgh          	-3.21404908e+00	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.38363082e+03	(3.19483435e+00 4.25000000e-01 5.24999860e-01)	2
0.012139627    	U              	(-1.93242701e-02 -1.46734353e-02 5.61738202e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(2.36054903e-01 6.52862438e-03 2.72795609e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.012139627    	alpha.water    	-2.44034916e-13	(1.93601195e+00 4.75000659e-01 1.24998418e-01)	3	1.00000034e+00	(2.23832099e+00 -2.50000909e-02 3.24998396e-01)	2
0.012139627    	k              	7.82414892e-02	(7.48347757e-01 2.07009432e-01 1.87420348e-02)	1	1.00544029e-01	(1.98655267e+00 -3.25001221e-01 6.24996048e-01)	3
0.012139627    	epsilon        	9.23125570e-02	(8.40367940e-01 -1.37870132e-01 1.87835567e-01)	1	1.68571747e+00	(7.48315690e-01 6.25006297e-03 1.66462137e-01)	1
0.013711702    	p              	-9.81111382e+00	(2.28876440e+00 -4.25000068e-01 1.00000000e+00)	2	5.12327721e+03	(3.19483360e+00 -4.25000000e-01 0.00000000e+00)	2
0.013711702    	p_rgh          	-3.26114166e+00	(2.03690628e+00 -2.50001869e-02 5.74996389e-01)	3	5.38200536e+03	(3.19483435e+00 -4.75000000e-01 5.24999858e-01)	2
0.013711702    	U              	(-2.16722344e-02 -1.64060281e-02 6.37091666e-05)	(6.55988957e-01 2.09123197e-01 6.24140037e-03)	1	(2.67623712e-01 8.49829418e-03 3.04705148e-01)	(1.93616222e+00 4.75000326e-01 5.74995329e-01)	3
0.013711702    	alpha.water    	-4.53369082e-13	(1.93601195e+00 -4.75000659e-01 1.24998418e-01)	3	1.00000028e+00	(2.23832962e+00 -2.50000816e-02 3.74998259e-01)	2
