# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.62879943     	6.64599373e-01
0.62935945     	6.64599373e-01
0.62991948     	6.64599373e-01
0.63047951     	6.64599372e-01
0.63107454     	6.64599372e-01
0.63166957     	6.64599372e-01
0.6322646      	6.64599372e-01
0.63285963     	6.64599371e-01
0.63345466     	6.64599371e-01
0.63404969     	6.64599371e-01
0.63464473     	6.64599370e-01
0.63523976     	6.64599370e-01
0.63583479     	6.64599370e-01
0.63642982     	6.64599370e-01
0.63702485     	6.64599369e-01
0.63761988     	6.64599369e-01
0.63821491     	6.64599369e-01
0.63880994     	6.64599369e-01
0.63940497     	6.64599368e-01
0.64           	6.64599368e-01
0.64064516     	6.64599368e-01
0.64129032     	6.64599368e-01
0.64195853     	6.64599367e-01
0.64262673     	6.64599367e-01
0.64329493     	6.64599367e-01
0.64396313     	6.64599366e-01
0.64463134     	6.64599366e-01
0.64529954     	6.64599366e-01
0.64599956     	6.64599366e-01
0.64669958     	6.64599365e-01
0.64739961     	6.64599365e-01
0.64809963     	6.64599365e-01
0.64879965     	6.64599365e-01
0.64949967     	6.64599364e-01
0.65024969     	6.64599364e-01
0.65099972     	6.64599364e-01
0.65174974     	6.64599364e-01
0.65249976     	6.64599364e-01
0.65324979     	6.64599364e-01
0.65399981     	6.64599364e-01
0.65474984     	6.64599363e-01
0.65549986     	6.64599363e-01
0.65624988     	6.64599363e-01
0.65699991     	6.64599363e-01
0.65774993     	6.64599363e-01
0.65849995     	6.64599363e-01
0.65924998     	6.64599363e-01
0.66           	6.64599363e-01
0.6608         	6.64599363e-01
0.66163478     	6.64599363e-01
0.66246957     	6.64599363e-01
0.66330435     	6.64599363e-01
0.66413913     	6.64599363e-01
0.66497391     	6.64599363e-01
0.6658087      	6.64599363e-01
0.66664348     	6.64599363e-01
0.66747826     	6.64599363e-01
0.66831304     	6.64599363e-01
0.66914783     	6.64599363e-01
0.66998261     	6.64599363e-01
0.67081739     	6.64599363e-01
0.67165217     	6.64599362e-01
0.67248696     	6.64599362e-01
0.67332174     	6.64599362e-01
0.67415652     	6.64599362e-01
0.6749913      	6.64599362e-01
0.67582609     	6.64599361e-01
0.67666087     	6.64599361e-01
0.67749565     	6.64599361e-01
0.67833043     	6.64599361e-01
0.67916522     	6.64599360e-01
0.68           	6.64599360e-01
0.68090909     	6.64599360e-01
0.68186364     	6.64599359e-01
0.68281818     	6.64599359e-01
0.68377273     	6.64599358e-01
0.68472727     	6.64599358e-01
0.68568182     	6.64599357e-01
0.68663636     	6.64599357e-01
0.68759091     	6.64599356e-01
0.68854545     	6.64599355e-01
0.6895         	6.64599355e-01
0.69045455     	6.64599354e-01
0.69140909     	6.64599353e-01
0.69236364     	6.64599352e-01
0.69331818     	6.64599352e-01
0.69427273     	6.64599351e-01
0.69522727     	6.64599350e-01
0.69618182     	6.64599349e-01
0.69713636     	6.64599348e-01
0.69809091     	6.64599347e-01
0.69904545     	6.64599345e-01
0.7            	6.64599344e-01
0.701          	6.64599343e-01
0.70195        	6.64599341e-01
0.7029         	6.64599340e-01
0.70385        	6.64599339e-01
0.7048         	6.64599337e-01
0.70575        	6.64599336e-01
0.7067         	6.64599334e-01
0.70758667     	6.64599333e-01
0.70847333     	6.64599332e-01
0.70936        	6.64599331e-01
0.71024667     	6.64599329e-01
0.71113333     	6.64599328e-01
0.71202        	6.64599327e-01
0.71290667     	6.64599325e-01
0.71379333     	6.64599324e-01
0.71468        	6.64599323e-01
